master_cpd_id;cpd_name;broad_cpd_id;top_test_conc_umol;cpd_status;inclusion_rationale;gene_symbol_of_protein_target;target_or_activity_of_compound;source_name;source_catalog_id;cpd_smiles;status;combined_group
12877;BRD6340;BRD-K35716340;33;probe;"chromatin;pilot-set";;screening hit;ChemDiv Inc.;1988-0090;C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1;experimental;Miscellaneous or screening hit/natural product
18311;Bax channel blocker;BRD-A18763547;33;probe;pilot-set;BAX;inhibitor of BAX-mediated mitochondrial cytochrome c release;Maybridge;RJC01737;OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12;experimental;Apoptosis/BCL/p53/MDM2 modulator
23256;betulinic acid;BRD-K45401373;66;probe;"chromatin;lit-search";;"natural product; inhibitor of specificity protein 1 transcription factor in cells";Tocris Bioscience;3906;CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O;experimental;Miscellaneous or screening hit/natural product
24197;thalidomide;BRD-A93255169;66;FDA;"CTEP;kinome";CRBN;"immunomodulatory drug; binder of cereblon";Selleck;S1193;O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12;approved_or_clinical;Proteostasis/Ubiquitin/HSP chaperone modulator
25393;isoliquiritigenin;BRD-K33583600;33;probe;pilot-set;;natural product;MicroSource Discovery Systems Inc.;1504200;Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O;experimental;Miscellaneous or screening hit/natural product
26874;azacitidine;BRD-K03406345;66;FDA;"CTEP;std-of-care";DNMT1;inhibitor of DNA methyltransferase;Selleck;S1782;Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1;approved_or_clinical;Epigenetic/transcription modulator
26914;trifluoperazine;BRD-K89732114;33;FDA;pilot-set;DRD2;antagonist of dopamine receptor D2;Toronto Research Chemicals;T779200;CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1;approved_or_clinical;Other signaling enzyme/channel/metabolic modulator
26956;paclitaxel;BRD-A28746609;66;FDA;std-of-care;;inhibitor of microtubule assembly;Selleck;S1150;CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1;approved_or_clinical;DNA damage/replication/cytotoxics
26979;carboplatin;BRD-K11626735;66;FDA;std-of-care;;inducer of DNA damage;Selleck;S1215;O=C1O[Pt]OC(=O)C11CCC1;approved_or_clinical;DNA damage/replication/cytotoxics
27871;teniposide;BRD-A35588707;33;FDA;pilot-set;"TOP2A;TOP2B";inhibitor of topoisomerase II;MicroSource Discovery Systems Inc.;1504094;COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12;approved_or_clinical;DNA damage/replication/cytotoxics
